SCHID,SCH_PSDISC_OOMOOS_BL_M,SCH_PSDISC_OOMOOS_WH_M,TOT_PSDISC
100000,5.0,1,6
100001,4.0,3,7
100002,4.0,3,7
100003,5.0,3,8
100004,5.0,5,10
100005,3.0,5,8
100006,5.0,5,10
100007,4.0,3,7
100008,6.0,1,7
100009,7.0,2,9
100010,2.0,2,4
100011,5.0,0,5
100012,5.0,2,7
100013,6.0,2,8
100014,4.0,1,5
100015,6.0,2,8
100016,,2,8
100017,1.0,4,5
100018,7.0,1,8
100019,2.0,7,9
100020,11.0,5,16
100021,4.0,2,6
100022,,1,4
100023,8.0,2,10
100024,3.0,4,7
100025,3.0,1,4
100026,5.0,3,8
100027,8.0,8,16
100028,3.0,2,5
100029,2.0,3,5
100030,5.0,2,7
100031,3.0,2,5
100032,8.0,4,12
100033,10.0,9,19
100034,3.0,3,6
100035,2.0,5,7
100036,5.0,3,8
100037,7.0,1,8
100038,6.0,2,8
100039,6.0,2,8
100040,2.0,5,7
100041,4.0,5,9
100042,9.0,2,11
100043,7.0,2,9
100044,11.0,6,17
100045,8.0,2,10
100046,3.0,6,9
100047,2.0,3,5
100048,3.0,2,5
100049,4.0,3,7
100050,5.0,2,7
100051,5.0,5,10
100052,4.0,1,5
100053,,4,7
100054,8.0,4,12
100055,2.0,5,7
100056,1.0,4,5
100057,4.0,3,7
100058,5.0,3,8
100059,4.0,2,6
100060,3.0,1,4
100061,4.0,2,6
100062,8.0,5,13
100063,2.0,4,6
100064,2.0,2,4
100065,2.0,3,5
100066,7.0,2,9
100067,6.0,6,12
100068,7.0,4,11
100069,6.0,6,12
100070,7.0,3,10
100071,6.0,0,6
100072,4.0,2,6
100073,2.0,5,7
100074,3.0,4,7
100075,4.0,2,6
100076,7.0,1,8
100077,4.0,4,8
100078,3.0,6,9
100079,2.0,8,10
100080,6.0,2,8
100081,3.0,1,4
100082,5.0,3,8
100083,,2,11
100084,6.0,4,10
100085,6.0,2,8
100086,9.0,6,15
100087,4.0,2,6
100088,9.0,0,9
100089,2.0,4,6
100090,10.0,3,13
100091,6.0,3,9
100092,9.0,1,10
100093,4.0,5,9
100094,1.0,4,5
100095,6.0,2,8
100096,8.0,4,12
100097,6.0,4,10
100098,2.0,2,4
100099,3.0,4,7
100100,5.0,3,8
100101,3.0,3,6
100102,3.0,1,4
100103,5.0,4,9
100104,6.0,3,9
100105,5.0,2,7
100106,3.0,3,6
100107,5.0,3,8
100108,3.0,2,5
100109,3.0,4,7
100110,6.0,0,6
100111,5.0,1,6
100112,6.0,4,10
100113,2.0,2,4
100114,4.0,5,9
100115,7.0,3,10
100116,6.0,6,12
100117,5.0,3,8
100118,4.0,3,7
100119,3.0,3,6
100120,3.0,2,5
100121,7.0,3,10
100122,7.0,1,8
100123,6.0,5,11
100124,6.0,2,8
100125,7.0,0,7
100126,8.0,9,17
100127,6.0,3,9
100128,3.0,5,8
100129,,1,8
100130,,4,9
100131,5.0,4,9
100132,7.0,3,10
100133,4.0,4,8
